"Date(TL)","Salalah Temp.Dry Avg [deg C]","Power Density in Photon","Date(TL) (2)","Salalah Temp.Dry Avg [deg C] (2)"
"01/01/2011 1:00",20.4,"1.31E-10","01/01/2011",20.4
"01/01/2011 2:00",19.3,"1.05E-10","01/01/2011",19.3
"01/01/2011 3:00",17.7,"7.42E-11","01/01/2011",17.7
"01/01/2011 4:00",17.8,"7.59E-11","01/01/2011",17.8
"01/01/2011 5:00",17.3,"6.77E-11","01/01/2011",17.3
"01/01/2011 6:00",17.8,"7.59E-11","01/01/2011",17.8
"01/01/2011 7:00",17.4,"6.93E-11","01/01/2011",17.4
"01/01/2011 8:00",17.3,"6.77E-11","01/01/2011",17.3
"01/01/2011 9:00",20.2,"1.26E-10","01/01/2011",20.2
"01/01/2011 10:00",23.1,"2.15E-10","01/01/2011",23.1
"01/01/2011 11:00",24.3,"2.64E-10","01/01/2011",24.3
"01/01/2011 12:00",24.7,"2.81E-10","01/01/2011",24.7
"01/01/2011 13:00",24.9,"2.91E-10","01/01/2011",24.9
"01/01/2011 14:00",25.0,"2.95E-10","01/01/2011",25.0
"01/01/2011 15:00",25.1,"3.00E-10","01/01/2011",25.1
"01/01/2011 16:00",25.0,"2.95E-10","01/01/2011",25.0
"01/01/2011 17:00",24.6,"2.77E-10","01/01/2011",24.6
"01/01/2011 18:00",24.1,"2.55E-10","01/01/2011",24.1
"01/01/2011 19:00",23.5,"2.31E-10","01/01/2011",23.5
"01/01/2011 20:00",22.8,"2.04E-10","01/01/2011",22.8
"01/01/2011 21:00",21.8,"1.71E-10","01/01/2011",21.8
"01/01/2011 22:00",21.4,"1.59E-10","01/01/2011",21.4
"01/01/2011 23:00",19.7,"1.14E-10","01/01/2011",19.7
"02/01/2011 0:00",19.3,"1.05E-10","02/01/2011",19.3
"02/01/2011 1:00",20.6,"1.36E-10","02/01/2011",20.6
"02/01/2011 2:00",20.8,"1.42E-10","02/01/2011",20.8
"02/01/2011 3:00",21.1,"1.50E-10","02/01/2011",21.1
"02/01/2011 4:00",21.2,"1.53E-10","02/01/2011",21.2
"02/01/2011 5:00",18.5,"8.86E-11","02/01/2011",18.5
"02/01/2011 6:00",15.9,"4.83E-11","02/01/2011",15.9
"02/01/2011 7:00",16.7,"5.88E-11","02/01/2011",16.7
"02/01/2011 8:00",17.1,"6.46E-11","02/01/2011",17.1
"02/01/2011 9:00",21.5,"1.62E-10","02/01/2011",21.5
"02/01/2011 10:00",24.1,"2.55E-10","02/01/2011",24.1
"02/01/2011 11:00",25.9,"3.40E-10","02/01/2011",25.9
"02/01/2011 12:00",26.7,"3.84E-10","02/01/2011",26.7
"02/01/2011 13:00",27.5,"4.32E-10","02/01/2011",27.5
"02/01/2011 14:00",28.0,"4.65E-10","02/01/2011",28.0
